"","ZAT","clus","sign_traffic","traffic_light","sign_crossing","pedestrian_light","sign_stop","sign_yield","sign_school_zone","sidewalk","crosswalk","lane_marking","lane_bike","lane_bus","roundabout","curb","bollards","median","median_barrier","speed_bump","trees","bus_stop","street_lights","kiosks","parked_vehicles","sidewalk_obstruction","lane_parking","brt_station","potholes"
"1",3,1,55.9410186593147,0,0.917065879660897,0,7.33652703728718,0,0.917065879660897,7.33652703728718,1.83413175932179,22.0095811118615,0,0,0,31.1802399084705,3.66826351864359,0.917065879660897,0,1.83413175932179,42.1850304644013,3.66826351864359,29.3461081491487,0,1.83413175932179,5.50239527796538,0,0,1.83413175932179
"2",4,1,65.9858223819272,3.19286237331906,1.06428745777302,0,1.06428745777302,7.45001220441113,1.06428745777302,54.278660346424,1.06428745777302,122.393057643897,0,0,1.06428745777302,319.286237331906,50.0215105153319,19.1571742399143,0,0,886.551452324925,13.8357369510492,222.436078674561,7.45001220441113,27.6714739020985,9.57858711995717,1.06428745777302,0,46.8286481420128
"3",7,1,563.740515592557,12.1670614876092,28.3898101377547,0,77.0580560881913,4.05568716253639,8.11137432507277,1378.93363526237,52.723933112973,506.960895317048,0,0,0,3276.9952273294,1464.10306567563,150.060425013846,0,40.5568716253638,3126.93480231555,68.9466817631185,2279.29618534545,121.670614876092,1435.71325553788,1309.98695349925,8.11137432507277,0,365.011844628275
"4",9,2,1590.87215317863,295.62447098825,86.6248449872546,126.499773632181,70.1248745134918,54.9999015792093,12.3749778553221,2645.49526595996,228.249591553718,1087.62305372886,169.124697356068,81.1248548293336,0,6436.36348230696,2143.62116404968,609.123909989742,118.2497883953,93.4998326846557,11024.7302715525,114.124795776859,5501.3651554604,137.499753948023,2111.99622064164,853.873472017224,126.499773632181,13.7499753948023,307.999448843572
"5",10,1,668.289866536595,20.5627651242029,41.1255302484059,0,17.9924194836776,64.2586410131342,0,714.556088066052,38.5551846078805,1277.46178334111,200.486959960979,77.110369215761,0,2362.14764364281,963.879615197012,555.194658353479,41.1255302484059,38.5551846078805,5022.45538158656,43.6958758889312,4935.0636298087,107.954516902065,300.730439941468,239.042144568859,10.2813825621015,92.5324430589132,87.3917517778624
"6",11,2,1703.09669401485,189.111507101778,86.3572778094823,81.9847574140655,122.430571071671,79.798497216357,77.6122370186486,3260.8070848821,251.419922736467,1003.49343074816,133.361872060213,33.8870330644804,0,8112.11846359706,3351.536883087,341.056590842512,88.5435380071907,472.232202705017,4920.17857494278,175.993945915527,5250.30386479675,261.258093626155,3973.52790933504,3994.29738121327,67.7740661289608,9.83817088968785,433.97264924512
"7",12,2,1895.92539827237,84.6976982046077,143.334566192413,34.7477736224032,182.425811517617,10.858679257001,221.51705684282,2480.12234229903,180.254075666216,173.738868112016,4.3434717028004,0,2.1717358514002,6463.08589376699,549.44917040425,110.75852842141,0,353.992943778232,1850.31894539297,206.314905883019,2484.46581400183,95.5563774616087,2768.96321053525,2621.28517264004,0,0,397.427660806236
"8",13,2,1498.61319057889,80.2828494952979,72.0487110855238,30.8780190366531,90.5755225075156,8.23413840977415,135.863283761273,2947.82155069914,90.5755225075156,158.507164388152,0,0,0,8841.40611749499,1453.32542932514,12.3512076146612,0,212.029064051684,1494.49612137401,304.663121161643,3592.14288126397,123.512076146612,2984.87517354313,4088.24972045286,6.17560380733061,0,360.243555427619
"9",14,1,751.307327087802,4.81607260953719,43.3446534858347,0,48.1607260953719,4.81607260953719,38.5285808762975,1661.54505029033,33.7125082667603,130.033960457504,0,0,0,5321.7602335386,139.666105676579,52.9767987049091,14.4482178286116,120.40181523843,1059.53597409818,221.539340038711,1979.40584251979,4.81607260953719,910.237723202529,1536.32716244236,14.4482178286116,0,163.746468724265
"10",15,2,2791.25618033463,2172.18379792579,184.635622823692,879.734438159943,282.383893730352,10.8609189896289,249.801136761465,3844.76532232864,1259.86660279696,1086.09189896289,282.383893730352,10.8609189896289,0,11241.0511542659,7418.00766991656,434.436759585157,21.7218379792579,543.045949481446,2812.97801831389,347.549407668126,5473.90317077298,162.913784844434,3410.32856274348,3258.27569688868,0,0,564.767787460704
"11",16,2,1114.9586490363,5.09113538372738,86.5493015233654,5.09113538372738,86.5493015233654,0,127.278384593184,2377.56022420069,66.1847599884559,71.2758953721833,0,0,0,6272.27879275213,595.662839896103,66.1847599884559,0,361.470612244644,3059.77236562015,66.1847599884559,2698.30175337551,86.5493015233654,2759.39537798024,2321.55773497968,40.729083069819,0,371.652883012099
"12",17,1,373.329146407652,101.545527822881,32.8529648838734,56.7460302539631,20.9064321988285,0,26.879698541351,904.949850892149,17.9197990275673,89.5989951378366,0,0,0,1956.2447271761,238.930653700897,77.6524624527917,0,122.45196002171,4605.3883500848,158.291558076845,1051.29487628395,17.9197990275673,534.607337655758,149.331658563061,23.8930653700897,0,206.077688817024
"13",18,1,184.379328478975,61.4597761596582,12.2919552319316,55.3137985436924,12.2919552319316,0,0,344.174746494086,12.2919552319316,18.4379328478975,0,0,0,854.290888619249,18.4379328478975,92.1896642394873,0,0,1014.08630663436,30.7298880798291,356.466701726017,0,135.211507551248,104.481619471419,12.2919552319316,0,79.8977090075556
"14",20,1,674.659065913387,454.362228064118,41.305657096738,114.737936379828,4.58951745519311,41.305657096738,96.3798665590553,1266.7068176333,9.17903491038622,87.2008316486691,0,0,0,3451.31712630522,151.454076021373,339.62429168429,9.17903491038622,0,3336.57918992539,257.012977490814,1890.88119153956,13.7685523655793,486.48885025047,491.078367705663,4.58951745519311,0,252.423460035621
"15",21,1,228.575830257885,97.356372146877,8.46577149103278,31.7466430913729,4.23288574551639,16.9315429820656,12.6986572365492,516.412060952999,44.4453003279221,38.0959717096475,2.11644287275819,0,0,1271.98216652767,300.534887931664,93.1234864013606,0,10.582214363791,1487.85933954901,44.4453003279221,1013.77613605118,33.8630859641311,306.884216549938,133.335900983766,6.34932861827458,2.11644287275819,768.268762811225
"16",22,1,65.8351483353282,9.68163946107767,15.4906231377243,9.68163946107767,1.93632789221553,1.93632789221553,11.6179673532932,85.1984272574835,5.8089836766466,7.74531156886214,5.8089836766466,0,0,284.640200155684,34.8539020598796,7.74531156886214,0,7.74531156886214,429.864792071849,0,425.992136287418,1.93632789221553,127.797640886225,91.0074109341301,25.172262598802,0,32.9175741676641
"17",23,2,1479.60572827485,597.455971579819,140.342006746937,320.781729707286,64.1563459414571,12.0293148640232,72.1758891841393,2875.00625250155,308.752414843262,765.866379676144,72.1758891841393,4.00977162134107,4.00977162134107,6495.83002657253,2686.54698629852,593.446199958478,0,8.01954324268214,7510.30224677182,108.263833776209,4919.98977938549,228.556982416441,3528.59902678014,2125.17895931077,613.495058065184,0,280.684013493875
"18",24,2,956.018196742828,300.844887086904,60.1689774173808,120.337954834762,187.192374187407,33.4272096763227,60.1689774173808,3797.33101923025,86.9107451584389,227.305025798994,86.9107451584389,6.68544193526453,0,6906.06151912826,1972.20537090304,127.023396770026,13.3708838705291,20.0563258057936,1591.13518059296,173.821490316878,3790.64557729499,187.192374187407,3931.03985793555,5248.07191918266,6.68544193526453,0,1671.36048381613
"19",25,1,392.893709637593,24.6464688702549,24.6464688702549,0,7.24896143242792,7.24896143242792,34.795014875654,418.989970794334,34.795014875654,208.770089253924,36.2448071621396,11.5983382918847,0,1045.30023855611,268.211572999833,104.385044626962,4.34937685945675,111.63400605939,1494.73584736664,17.397507437827,967.011455085885,86.9875371891351,234.866350410665,388.544332778137,0,1.44979228648558,26.0962611567405
"20",26,2,2738.29859393436,110.193102371604,88.1544818972834,0,82.6448267787032,236.915170098949,71.6255165415427,3338.85100185961,170.799308675987,1812.67653401289,126.722067727345,165.289653557406,0,9933.90817880012,2137.74618600912,1355.37515917073,187.328274031727,137.741377964505,7123.98406832421,77.1351716601229,10776.8854119429,1063.36343788598,3393.94755304541,2914.60755772893,22.0386204743208,132.231722845925,468.320685079318
