ZAT,pop_total_2018,pop60plus_2018,n_manzanas,pct60plus
300,6019,1319,59,21.913939192556903
301,12015,2595,69,21.5980024968789
302,561,74,13,13.190730837789662
303,11877,1929,60,16.241475119979793
304,510,39,5,7.647058823529412
305,4626,700,40,15.131863380890618
306,1949,214,6,10.979989738327347
307,1960,261,5,13.316326530612244
308,11,2,1,18.181818181818183
309,15274,1491,105,9.761686526122823
310,16480,1785,110,10.83131067961165
311,20744,2975,117,14.341496336290012
312,21789,2720,82,12.48336316489972
313,9262,1547,67,16.702656013819908
314,20812,3459,105,16.620219104362867
315,11137,1678,39,15.06689413666158
316,9401,1348,49,14.338900117008828
317,21415,2694,20,12.579967312631334
318,11252,2491,74,22.13828652683967
319,9145,1844,63,20.164024056861674
320,4872,963,44,19.766009852216747
321,8690,1304,30,15.005753739930956
322,23706,3805,44,16.05078882983211
323,10780,1275,9,11.827458256029685
324,260,25,16,9.615384615384615
325,177,13,5,7.344632768361582
326,285,36,11,12.631578947368421
327,3062,525,7,17.14565643370346
328,2353,297,40,12.622184445388866
329,99,3,3,3.0303030303030303
330,7696,1408,35,18.295218295218294
331,47,9,1,19.148936170212767
332,275,35,7,12.727272727272727
333,2387,549,18,22.999581064097192
335,5264,1085,45,20.611702127659573
336,2382,522,23,21.91435768261965
337,4664,938,18,20.1114922813036
339,1760,467,23,26.53409090909091
340,4912,1111,41,22.618078175895764
341,977,202,22,20.67553735926305
342,1484,271,15,18.26145552560647
343,16,2,1,12.5
344,2632,384,45,14.589665653495441
345,4914,558,13,11.355311355311356
346,397,66,7,16.624685138539043
347,626,85,4,13.578274760383387
348,4355,846,39,19.425947187141215
349,2905,475,22,16.351118760757316
350,1618,254,22,15.698393077873918
351,890,158,11,17.752808988764045
352,970,220,8,22.68041237113402
353,2144,352,10,16.417910447761194
354,4174,726,19,17.393387637757545
355,4282,520,23,12.143858010275572
356,2111,384,16,18.190431075319754
357,164,26,6,15.853658536585366
358,1180,209,10,17.71186440677966
359,5296,765,42,14.444864048338369
360,6715,1469,29,21.87639612807148
361,3341,331,24,9.907213409158935
362,1266,147,16,11.611374407582938
363,335,37,14,11.044776119402986
364,2162,148,5,6.845513413506013
365,68,6,4,8.823529411764707
366,1275,189,13,14.823529411764707
367,296,32,8,10.81081081081081
368,68,5,3,7.352941176470588
369,196,23,10,11.73469387755102
370,597,43,14,7.202680067001675
371,1155,171,36,14.805194805194805
372,5714,833,23,14.578228911445573
373,13088,1749,64,13.36338630806846
374,12676,2112,67,16.661407384032817
375,266,39,3,14.661654135338345
376,3750,619,12,16.506666666666668
377,5146,827,22,16.070734551107655
378,8218,1463,50,17.802385008517888
